368;Importacion de compras de vendedor movil
369;Autorizar precios abajo del minimo - moviles
370;Vehiculos
371;Pagos a proveedores
372;Surtido Pendiente Movil
373;Validar documentos
10158;Cambiar vendedor del cliente
10159;Ver Notas de incidencia clientes
10160;Dejar saldo a favor del cliente en nota de credito
10161;Cambiar costo reposicion en lista precio especiales
10162;Pagar venta en surtido previo
10163;Bloquear F6
10164;Movil - Procesar ventas de manera automatica
10165;Movil - Procesar compras de manera automatica
10166;Movil - Cambiar precio de compra
10167;Eliminar compra movil
10168;Movil - Ver Ultimas compras
10169;Opciones avanzadas de pago en venta
10170;Cambiar precio en recepcion de orden de compra
10171;Recibir email de cortes
10172;Agregar notas y definir contado/factura en cotizacion
10173;Venta de stand
10174;Imprimir ticket pedido movil
10175;Imprimir recibo largo pedido movil
10176;Movil Surtido PostPuesto
10177;Ver columna de precio con utilidad en listado de productos
10178;Ver utilidad ventas
10179;Trasladar a todas las sucursales
10180;Filtrar listas por almacen
10181;Listar clientes hasta que se haga busqueda en Clientes Lista
10182;Cambiar de almacen - gastos
10183;Filtrar por almacen - gastos
