id;clave;nombre;acronimo
1;JALISCO;JALISCO;JAL
2;NAYARIT;NAYARIT;NAY
4;AGUASCALIENTES;AGUASCALIENTES;AGU
5;BAJA CALIFORNIA;BAJA CALIFORNIA;BCN
6;BAJA CALIFORNIA SUR;BAJA CALIFORNIA SUR;BCS
7;CAMPECHE;CAMPECHE;CAM
8;CHIAPAS;CHIAPAS;CHP
9;CHIHUAHUA;CHIHUAHUA;CHH
10;CIUDAD DE MEXICO;CIUDAD DE MEXICO;CMX
11;COAHUILA;COAHUILA;COA
12;COLIMA;COLIMA;COL
13;DURANGO;DURANGO;DUR
14;GUANAJUATO;GUANAJUATO;GUA
15;GUERRERO;GUERRERO;GRO
16;HIDALGO;HIDALGO;HID
17;MEXICO;MEXICO;MEX
18;MICHOACAN;MICHOACAN;MIC
19;MORELOS;MORELOS;MOR
20;NUEVO LEON;NUEVO LEON;NLE
21;OAXACA;OAXACA;OAX
22;PUEBLA;PUEBLA;PUE
23;QUERETARO;QUERETARO;QUE
24;QUINTANA ROO;QUINTANA ROO;ROO
25;SAN LUIS POTOSI;SAN LUIS POTOSI;SLP
26;SINALOA;SINALOA;SIN
27;SONORA;SONORA;SON
28;TABASCO;TABASCO;TAB
29;TAMAULIPAS;TAMAULIPAS;TAM
30;TLAXCALA;TLAXCALA;TLA
31;VERACRUZ;VERACRUZ;VER
32;YUCATAN;YUCATAN;YUC
33;ZACATECAS;ZACATECAS;ZAC
