ID;ACTIVO;CREADO;CREADOPOR_USERID;MODIFICADO;MODIFICADOPOR_USERID;CLAVE;DESCRIPCION;NUMEROEJES;NUMEROLLANTAS;REMOLQUE;FECHAINICIO;FECHAFIN
1;S;22.01.2022 07:53;;22.01.2022 07:53;;VL;Vehículo ligero de carga (2 llantas en el eje delantero y 2 llantas en el eje trasero);2;4;0, 1;01.12.2021;
2;S;22.01.2022 07:53;;22.01.2022 07:53;;C2;Camión Unitario (2 llantas en el eje delantero y 4 llantas en el eje trasero);2;6;0;01.06.2021;
3;S;22.01.2022 07:53;;22.01.2022 07:53;;C3;Camión Unitario (2 llantas en el eje delantero y 6 o 8 llantas en los dos ejes traseros);3;8 o 10;0;01.06.2021;
4;S;22.01.2022 07:53;;22.01.2022 07:53;;C2R2;Camión-Remolque (6 llantas en el camión y 8 llantas en remolque);4;14;1;01.06.2021;
5;S;22.01.2022 07:53;;22.01.2022 07:53;;C3R2;Camión-Remolque (10 llantas en el camión y 8 llantas en remolque);5;18;1;01.06.2021;
6;S;22.01.2022 07:53;;22.01.2022 07:53;;C2R3;Camión-Remolque (6 llantas en el camión y 12 llantas en remolque);5;18;1;01.06.2021;
7;S;22.01.2022 07:53;;22.01.2022 07:53;;C3R3;Camión-Remolque (10 llantas en el camión y 12 llantas en remolque);6;22;1;01.06.2021;
8;S;22.01.2022 07:53;;22.01.2022 07:53;;T2S1;Tractocamión Articulado (6 llantas en el tractocamión, 4 llantas en el semirremolque);3;10;1;01.06.2021;
9;S;22.01.2022 07:53;;22.01.2022 07:53;;T2S2;Tractocamión Articulado (6 llantas en el tractocamión, 8 llantas en el semirremolque);4;14;1;01.06.2021;
10;S;22.01.2022 07:53;;22.01.2022 07:53;;T2S3;Tractocamión Articulado (6 llantas en el tractocamión, 12 llantas en el semirremolque);5;18;1;01.06.2021;
11;S;22.01.2022 07:53;;22.01.2022 07:53;;T3S1;Tractocamión Articulado (10 llantas en el tractocamión, 4 llantas en el semirremolque);4;14;1;01.06.2021;
12;S;22.01.2022 07:53;;22.01.2022 07:53;;T3S2;Tractocamión Articulado (10 llantas en el tractocamión, 8 llantas en el semirremolque);5;18;1;01.06.2021;
13;S;22.01.2022 07:53;;22.01.2022 07:53;;T3S3;Tractocamión Articulado (10 llantas en el tractocamión, 12 llantas en el semirremolque);6;22;1;01.06.2021;
14;S;22.01.2022 07:53;;22.01.2022 07:53;;T2S1R2;Tractocamión Semirremolque-Remolque (6 llantas en el tractocamión, 4 llantas en el semirremolque y 8 llantas en el remolque);5;18;1;01.06.2021;
15;S;22.01.2022 07:53;;22.01.2022 07:53;;T2S2R2;Tractocamión Semirremolque-Remolque (6 llantas en el tractocamión, 8 llantas en el semirremolque y 8 llantas en el remolque);6;22;1;01.06.2021;
16;S;22.01.2022 07:53;;22.01.2022 07:53;;T2S1R3;Tractocamión Semirremolque-Remolque (6 llantas en el tractocamión, 4 llantas en el semirremolque y 12 llantas en el remolque);6;22;1;01.06.2021;
17;S;22.01.2022 07:53;;22.01.2022 07:53;;T3S1R2;Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 4 llantas en el semirremolque y 8 llantas en el remolque);6;22;1;01.06.2021;
18;S;22.01.2022 07:53;;22.01.2022 07:53;;T3S1R3;Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 4 llantas en el semirremolque y 12 llantas en el remolque);7;26;1;01.06.2021;
19;S;22.01.2022 07:53;;22.01.2022 07:53;;T3S2R2;Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 8 llantas en el semirremolque y 8 llantas en el remolque);7;26;1;01.06.2021;
20;S;22.01.2022 07:53;;22.01.2022 07:53;;T3S2R3;Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 8 llantas en el semirremolque y 12 llantas en el remolque);8;30;1;01.06.2021;
21;S;22.01.2022 07:53;;22.01.2022 07:53;;T3S2R4;Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 8 llantas en el semirremolque y 16 llantas en el remolque);9;34;1;01.06.2021;
22;S;22.01.2022 07:53;;22.01.2022 07:53;;T2S2S2;Tractocamión Semirremolque-Semirremolque (6 llantas en el tractocamión, 8 llantas en el semirremolque delantero y 8 llantas en el semirremolque trasero);6;22;1;01.06.2021;
23;S;22.01.2022 07:53;;22.01.2022 07:53;;T3S2S2;Tractocamión Semirremolque-Semirremolque (10 llantas en el tractocamión, 8 llantas en el semirremolque delantero y 8 llantas en el semirremolque trasero);7;26;1;01.06.2021;
24;S;22.01.2022 07:53;;22.01.2022 07:53;;T3S3S2;Tractocamión Semirremolque-Semirremolque (10 llantas en el tractocamión, 12 llantas en el semirremolque delantero y 8 llantas en el semirremolque trasero);8;30;1;01.06.2021;
25;S;22.01.2022 07:53;;22.01.2022 07:53;;OTROEVGP;Especializado de carga Voluminosa y/o Gran Peso;;;0, 1;01.12.2021;
26;S;22.01.2022 07:53;;22.01.2022 07:53;;OTROSG;Servicio de Grúas;;;0;01.06.2021;
27;S;22.01.2022 07:53;;22.01.2022 07:53;;GPLUTA;Grúa de Pluma Tipo A;;;0;01.12.2021;
28;S;22.01.2022 07:53;;22.01.2022 07:53;;GPLUTB;Grúa de Pluma Tipo B;;;0;01.12.2021;
29;S;22.01.2022 07:53;;22.01.2022 07:53;;GPLUTC;Grúa de Pluma Tipo C;;;0;01.12.2021;
30;S;22.01.2022 07:53;;22.01.2022 07:53;;GPLUTD;Grúa de Pluma Tipo D;;;0;01.12.2021;
31;S;22.01.2022 07:53;;22.01.2022 07:53;;GPLATA;Grúa de Plataforma Tipo A;;;0;01.12.2021;
32;S;22.01.2022 07:53;;22.01.2022 07:53;;GPLATB;Grúa de Plataforma Tipo B;;;0;01.12.2021;
33;S;22.01.2022 07:53;;22.01.2022 07:53;;GPLATC;Grúa de Plataforma Tipo C;;;0;01.12.2021;
34;S;22.01.2022 07:53;;22.01.2022 07:53;;GPLATD;Grúa de Plataforma Tipo D;;;0;01.12.2021;
